ubigeo,total_fp,total_pl,total_validos,total_en_blanco,total_votos_nulos,total_votos_impugnados,total_votos_emitidos,total_primera_accion_popular,total_primera_app,total_primera_avanza_pais,total_democracia_directa,total_primera_frente_amplio,total_primera_fuerza_popular,total_primera_jpp,total_primera_somos,total_primera_partido_morado,total_primera_nacionalista,total_primera_peru_libre,total_primera_ppc,total_primera_pps,total_primera_podemos_peru,total_primera_renacimiento,total_renovacion_popular,total_upp,total_victoria_nacional,total_primera_blanco,total_primera_nulo
010101,6064,7572,13636,119,1254,3,15012,1338,1009,1132,36,112,1222,1314,213,281,182,1695,125,35,333,36,1225,30,630,1543,1128
010102,31,121,152,2,4,0,158,17,8,1,0,0,6,6,3,2,15,14,0,1,2,1,6,0,8,9,15
010103,259,368,627,4,26,0,657,52,25,4,0,3,49,28,10,5,9,117,1,1,2,2,21,2,25,122,26
010104,115,265,380,5,42,0,427,47,32,14,0,18,29,37,1,4,29,44,2,0,2,1,26,1,9,78,37
010105,191,166,357,0,26,0,383,28,12,3,2,2,88,14,0,1,14,41,0,1,2,3,6,1,2,78,26
010106,340,311,651,3,41,0,695,54,35,1,3,13,125,56,6,6,9,60,1,0,2,4,13,3,27,166,57
010107,89,187,276,4,15,0,295,18,14,8,0,1,39,24,2,8,11,79,0,0,0,1,17,0,4,45,18
010108,158,159,317,3,8,0,328,30,16,2,1,5,35,13,2,7,22,54,1,0,5,3,15,1,19,53,25
010109,464,2158,2622,41,228,0,2891,168,173,36,0,45,107,287,26,21,160,564,6,6,38,15,75,15,56,576,259
010110,697,849,1546,23,102,0,1671,178,96,82,4,20,148,119,48,14,45,215,3,4,22,3,96,2,44,326,109
010111,291,362,653,6,26,0,685,33,38,30,0,7,110,54,4,8,24,125,0,0,13,4,27,1,15,104,28
010112,172,342,514,9,21,0,544,45,37,26,1,2,45,40,5,9,35,49,0,0,3,3,56,3,19,76,49
010113,237,261,498,8,27,0,533,56,24,12,0,6,75,36,5,5,5,79,1,0,2,3,15,0,15,46,60
010114,525,780,1305,20,74,0,1399,118,55,60,1,6,135,139,14,15,44,240,3,0,22,3,77,3,31,209,102
010115,112,281,393,5,24,0,422,34,30,7,0,5,29,63,5,4,9,51,4,0,2,1,18,1,9,53,22
010116,64,177,241,1,8,0,250,43,10,21,1,2,23,21,3,5,14,30,0,1,0,0,10,0,8,34,17
010117,76,356,432,6,25,0,463,51,15,9,1,2,9,28,2,2,51,34,0,1,4,0,13,0,3,89,44
010118,88,107,195,2,16,0,213,13,10,20,0,18,22,16,2,2,8,25,3,0,2,1,10,0,9,25,15
010119,145,238,383,4,10,0,397,73,7,16,1,2,50,44,4,3,29,37,0,0,1,2,9,2,10,44,29
010120,264,512,776,5,44,0,825,64,56,27,1,52,78,45,3,3,31,80,1,0,5,1,42,4,10,145,44
010121,89,98,187,4,8,0,199,20,13,1,1,3,29,12,1,1,21,11,0,0,6,1,8,0,1,32,20
010201,5235,7756,12991,88,822,0,13901,931,1247,375,26,20,1658,469,117,107,506,2540,58,26,276,34,925,248,605,2053,1381
010202,3069,5662,8731,104,501,0,9336,444,400,119,12,22,1100,177,50,69,604,2086,13,6,519,69,402,78,254,2259,731
010203,867,1940,2807,28,129,0,2964,220,167,40,2,12,235,107,25,15,440,481,6,2,28,16,127,71,86,590,203
010204,250,690,940,5,32,0,977,64,47,14,0,3,71,37,7,3,117,214,1,1,14,8,42,41,60,166,46
010205,919,9457,10376,68,376,0,10820,208,359,68,9,30,338,325,28,157,1027,2365,11,8,1723,57,252,408,107,2697,753
010206,1696,2769,4465,41,269,0,4775,319,260,66,7,17,518,150,30,23,509,700,14,7,65,14,217,99,174,867,549
010301,170,366,536,11,51,0,598,54,15,16,1,5,47,50,7,10,16,101,1,1,2,2,23,1,16,104,44
010302,106,176,282,6,18,0,306,32,20,10,0,6,39,20,10,1,8,44,0,1,3,0,16,1,5,36,41
010303,128,111,239,1,10,0,250,30,13,10,0,1,36,13,0,4,4,35,1,1,7,0,14,2,2,56,7
010304,100,380,480,6,14,0,500,24,26,5,0,1,34,27,12,3,12,172,1,1,3,2,16,4,8,104,43
010305,98,319,417,1,18,0,436,39,18,4,0,2,19,33,6,4,14,71,1,0,10,2,20,12,20,92,55
010306,1125,1843,2968,35,243,0,3246,125,98,69,2,9,392,89,12,17,38,955,3,2,44,10,105,11,47,526,269
010307,1771,2030,3801,48,254,0,4103,242,209,143,1,16,629,278,30,54,111,686,9,8,94,14,212,49,115,699,246
010308,42,143,185,1,5,0,191,24,8,5,0,5,20,22,3,5,6,22,1,0,4,2,7,4,12,24,10
010309,102,202,304,3,22,0,329,22,33,7,2,0,27,18,2,5,15,62,0,1,8,2,19,6,6,54,32
010310,269,604,873,7,55,0,935,52,26,23,2,5,74,56,6,6,41,205,2,1,23,2,24,10,20,143,184
010311,301,286,587,7,27,0,621,34,47,10,0,4,119,56,3,10,33,59,1,0,14,4,34,2,17,112,46
